Country Name,1990,1995,2000,2005,2010,2015,2020
Australia,"425,624.31","439,269.88","489,528.65","524,811.85","536,893.74","534,936.02","528,149.46"
Austria,"79,047.23","79,953.24","80,619.36","92,588.58","84,693.29","78,884.46","73,910.84"
Belarus,"145,339.89","87,955.99","81,145.92","86,538.40","91,884.27","88,307.46","89,940.28"
Belgium,"145,844.47","153,579.82","148,877.33","145,418.35","133,644.30","118,990.38","107,272.65"
Bulgaria,"98,910.34","72,168.36","57,387.46","62,364.32","59,383.17","60,421.40","47,984.62"
Canada,"588,602.82","639,070.29","719,463.71","732,220.09","701,867.55","722,918.27","658,788.39"
Croatia,"31,454.18","22,686.43","25,653.65","29,876.44","28,171.06","24,611.05","23,906.82"
Cyprus,"5,571.73","6,972.18","8,306.44","9,222.44","9,455.87","8,343.27","8,502.86"
Czechia,"198,775.27","158,371.95","151,139.21","148,934.99","140,167.57","128,506.45","113,072.05"
Denmark,"71,820.94","79,748.73","72,662.45","68,748.18","65,857.45","50,834.62","44,483.80"
Finland,"71,087.75","71,743.59","70,136.61","69,704.70","75,555.95","55,009.24","47,756.28"
France,"540,830.69","534,172.16","548,714.51","553,899.48","511,152.92","460,283.69","398,297.03"
Germany,"1,251,224.78","1,120,660.81","1,040,191.83","984,986.97","932,379.13","896,657.87","730,922.69"
Greece,"103,985.69","109,581.12","126,659.45","136,748.14","119,159.95","95,965.29","75,464.49"
Hungary,"94,985.02","77,647.68","75,378.31","76,954.88","66,533.79","62,201.09","62,965.32"
Iceland,"3,682.04","3,554.69","4,154.23","4,059.34","4,906.35","4,772.71","4,521.06"
Ireland,"55,642.84","60,080.66","69,712.38","71,531.48","63,032.16","61,724.03","59,056.30"
Italy,"521,480.34","535,653.71","559,978.14","594,197.38","523,465.70","445,735.65","384,969.88"
Japan,"1,269,334.03","1,373,818.25","1,373,303.42","1,377,463.88","1,300,046.75","1,317,836.20","1,144,932.50"
Kazakhstan,"386,682.79","260,567.69","260,434.12","287,466.39","315,855.51","346,827.11","333,970.96"
Liechtenstein,229.64,234.41,247.63,264.52,228.83,198.64,180.87
Luxembourg,"12,722.41","10,078.52","9,635.00","12,993.83","12,159.05","10,313.87","9,029.90"
Malta,"2,626.43","2,691.06","2,749.71","2,997.66","2,962.33","2,129.16","2,111.86"
Monaco,102.46,105.44,106.29,97.74,87.76,88.21,69.76
Netherlands,"221,781.04","231,305.57","219,454.92","214,666.95","214,236.64","194,015.91","164,367.79"
New Zealand,"64,720.07","68,394.70","74,850.47","81,752.18","77,328.02","79,036.99","77,330.66"
Norway,"50,712.45","50,834.46","54,074.16","54,471.72","54,925.06","54,362.82","49,214.64"
Poland,"474,554.32","446,731.87","393,992.73","400,708.69","407,236.96","383,395.33","371,312.43"
Portugal,"59,473.35","69,306.34","82,420.02","86,489.22","69,529.86","68,178.64","58,029.35"
Romania,"257,137.18","188,741.81","142,238.31","151,327.10","126,669.91","117,099.81","112,036.04"
Russian Federation,"3,166,579.05","2,070,711.49","1,895,001.38","1,970,602.69","2,019,393.43","2,033,334.96","2,061,109.86"
Slovak Republic,"73,738.67","53,179.97","48,986.21","50,666.31","45,766.63","40,869.58","37,187.89"
Slovenia,"18,797.65","18,863.25","18,769.38","20,643.29","19,797.93","16,912.47","15,974.78"
Spain,"287,710.27","327,011.05","383,276.36","438,759.63","354,652.28","333,623.41","272,244.36"
Sweden,"71,478.31","73,326.17","68,349.11","66,540.93","64,375.65","53,557.22","46,214.03"
Switzerland,"54,933.88","53,818.43","53,839.34","56,089.86","55,306.85","48,903.48","43,789.74"
Türkiye,"219,526.15","248,248.91","298,916.75","337,575.00","398,793.16","474,967.53","523,990.82"
Ukraine,"942,800.47","562,107.58","427,917.24","442,402.01","407,345.75","319,166.58","318,034.95"
United Kingdom,"806,301.84","757,644.22","723,919.58","699,595.39","615,724.59","513,880.19","408,965.08"
United States,"6,487,330.95","6,821,933.72","7,369,162.97","7,477,358.36","7,058,197.91","6,737,358.64","6,025,973.61"